Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpMax.Value,DayAirTmpMin.Value,DayDewPnt.Value,DayEto.Value,DayPrecip.Value,DayRelHumAvg.Value,DayRelHumMax.Value,DayRelHumMin.Value,DaySoilTmpAvg.Value,DaySolRadAvg.Value,DayVapPresAvg.Value,DayWindRun.Value,DayWindSpdAvg.Value
2024-01-01,1,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,12.4,18.8,6.6,7.6,1.94,0,73,98,47,11.7,132,1,110.5,1.3
2024-01-02,2,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,10.4,17,3.7,7.6,1.55,4.7,83,99,56,11.3,125,1,97.7,1.1
2024-01-03,3,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,10.8,14.9,6.7,7.8,1.45,5.3,82,99,64,11.4,122,1.1,84.8,1
2024-01-04,4,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,9.4,15.7,4.9,5.4,1.71,0,76,94,55,10.8,130,0.9,89.6,1
2024-01-05,5,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,11.1,17,6,5.6,1.83,0,69,88,52,10.4,135,0.9,118.3,1.4
2024-01-06,6,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,9.8,15,2.7,5.6,1.08,1.2,75,93,49,10,92,0.9,69.6,0.8
2024-01-07,7,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,8.3,15,1.4,-0.5,1.98,0,54,86,28,9.7,146,0.6,134.4,1.6
2024-01-08,8,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,7,14.8,0.8,0,1.84,0,61,82,31,8.9,142,0.6,87.1,1
2024-01-09,9,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,9.1,16.1,1.8,5.4,1.84,0,77,99,50,8.6,138,0.9,120.2,1.4
2024-01-10,10,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,10.5,14.8,4.1,6.1,1.9,1.5,74,96,51,9.2,132,0.9,214.3,2.5
2024-01-11,11,160,metric,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",daily,9,14.2,1.8,0.5,2.09,0.6,55,94,28,9.4,149,0.6,172.3,2
