Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpAvg.Qc,DayAirTmpMax.Value,DayAirTmpMax.Qc,DayAirTmpMin.Value,DayAirTmpMin.Qc,DayDewPnt.Value,DayDewPnt.Qc,DayEto.Value,DayEto.Qc,DayPrecip.Value,DayPrecip.Qc,DayRelHumAvg.Value,DayRelHumAvg.Qc,DayRelHumMax.Value,DayRelHumMax.Qc,DayRelHumMin.Value,DayRelHumMin.Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,DaySolRadAvg.Value,DaySolRadAvg.Qc,DayVapPresAvg.Value,DayVapPresAvg.Qc,DayWindRun.Value,DayWindRun.Qc,DayWindSpdAvg.Value,DayWindSpdAvg.Qc
2013-01-01,1,124,metric,"95043, 93622",daily,4.5, ,9.8, ,-0.5, ,2, ,1.17, ,0, ,84, ,96, ,71, ,8.1, ,109, ,0.7, ,148, ,1.7, 
2013-01-02,2,124,metric,"95043, 93622",daily,4.2, ,12.9, ,-1.4, ,1.2, ,1.2, ,0, ,81, ,97, ,53, ,7.4, ,117, ,0.7, ,81.2, ,0.9, 
2013-01-03,3,124,metric,"95043, 93622",daily,4.4, ,13, ,-2.1, ,1.7, ,1.23, ,0.1, ,83, ,96, ,55, ,7.5, ,116, ,0.7, ,88.6, ,1, 
2013-01-04,4,124,metric,"95043, 93622",daily,5, ,13, ,-0.9, ,2.6, ,1.17, ,0, ,84, ,96, ,58, ,7.7, ,109, ,0.7, ,84.4, ,1, 
2013-01-05,5,124,metric,"95043, 93622",daily,5.9, ,12.1, ,-1, ,4.1, ,0.94, ,8.5, ,88, ,97, ,63, ,7.7, ,94, ,0.8, ,95.9, ,1.1, 
2013-01-06,6,124,metric,"95043, 93622",daily,7.6, ,9.2, ,5.9, ,6.6, ,0.32, ,11.8,H,94, ,97, ,83, ,9, ,46, ,1, ,193.6, ,2.2, 
2013-01-07,7,124,metric,"95043, 93622",daily,5.7, ,11.2, ,0.7, ,4.2, ,0.96, ,0, ,90, ,96, ,76, ,8.6, ,97, ,0.8, ,100.7, ,1.2, 
2013-01-08,8,124,metric,"95043, 93622",daily,5.9, ,12.8, ,0.9, ,4.5, ,1.13, ,0.1, ,91, ,97, ,71, ,8.1, ,113, ,0.8, ,74.6, ,0.9, 
2013-01-09,9,124,metric,"95043, 93622",daily,7.2, ,12.2, ,1.8, ,5.4, ,0.84, ,0.2, ,88, ,96, ,67, ,8.4, ,75, ,0.9, ,162.3, ,1.9, 
2013-01-10,10,124,metric,"95043, 93622",daily,6.8, ,10.6, ,2.4, ,0.9, ,1.43, ,0, ,66, ,73, ,54, ,9.1, ,100, ,0.7, ,261, ,3, 
2013-01-11,11,124,metric,"95043, 93622",daily,4.8, ,11, ,-0.5, ,-0.2, ,1.4, ,0, ,70, ,91, ,42, ,7.9, ,125, ,0.6, ,116.4, ,1.3, 
2013-01-12,12,124,metric,"95043, 93622",daily,4, ,9.2, ,-1.2, ,-1.7, ,1.51, ,0, ,67, ,91, ,38, ,7, ,131, ,0.5, ,161.2, ,1.9, 
2013-01-13,13,124,metric,"95043, 93622",daily,2.3, ,8.3, ,-2.4, ,-3.8, ,1.49, ,0, ,64, ,84, ,40, ,5.6, ,125, ,0.5, ,152.3, ,1.8, 
2013-01-14,14,124,metric,"95043, 93622",daily,1.5, ,7.8, ,-4, ,-4.8, ,1.53, ,0, ,63, ,86, ,39, ,4.9, ,131, ,0.4, ,147.7, ,1.7, 
2013-01-15,15,124,metric,"95043, 93622",daily,2.6, ,10.9, ,-3.8, ,-3, ,1.39, ,0, ,66, ,90, ,38, ,4.7, ,128, ,0.5, ,83.6, ,1, 
2013-01-16,16,124,metric,"95043, 93622",daily,3.7, ,12.3, ,-3.1, ,-1.5, ,1.48, ,0, ,69, ,91, ,42, ,4.8, ,132, ,0.5, ,87.7, ,1, 
2013-01-17,17,124,metric,"95043, 93622",daily,4.9, ,14.6, ,-2.2, ,0.3, ,1.5, ,0, ,72, ,94, ,44, ,5, ,131, ,0.6, ,74.8, ,0.9, 
2013-01-18,18,124,metric,"95043, 93622",daily,5.6, ,14.7, ,-1.6, ,1.7, ,1.59, ,0, ,76, ,95, ,48, ,5.4, ,132, ,0.7, ,101, ,1.2, 
2013-01-19,19,124,metric,"95043, 93622",daily,6.1, ,15.4, ,-2, ,2.6, ,1.52, ,0, ,79, ,96, ,51, ,5.9, ,127, ,0.7, ,85.2, ,1, 
2013-01-20,20,124,metric,"95043, 93622",daily,6.3, ,15.3, ,-0.9, ,2.8, ,1.57, ,0, ,78, ,98, ,47, ,6.3, ,133, ,0.7, ,79.2, ,0.9, 
2013-01-21,21,124,metric,"95043, 93622",daily,5.9, ,17.5, ,-1.8, ,2.6, ,1.53, ,0, ,80, ,97, ,48, ,6.4, ,135, ,0.7, ,74.7, ,0.9, 
2013-01-22,22,124,metric,"95043, 93622",daily,7.1, ,16.7, ,-1.3, ,3.9, ,1.46, ,0, ,80, ,96, ,51, ,6.6, ,121, ,0.8, ,88, ,1, 
2013-01-23,23,124,metric,"95043, 93622",daily,8.6, ,11.5, ,4.4, ,6.9, ,0.11, ,0.1, ,89, ,95, ,77, ,7.3, ,24, ,1, ,121.5, ,1.4, 
2013-01-24,24,124,metric,"95043, 93622",daily,10.4, ,11.9, ,8.8, ,9.7, ,0.26, ,2.7, ,95, ,98, ,89, ,9, ,40, ,1.2, ,179.5, ,2.1, 
2013-01-25,25,124,metric,"95043, 93622",daily,12.5, ,15.3, ,9.3, ,11.7, ,0.37, ,0.2, ,95, ,97, ,87, ,10.4, ,46, ,1.4, ,95.4, ,1.1, 
2013-01-26,26,124,metric,"95043, 93622",daily,13, ,18.1, ,6.1, ,10.5, ,1.14, ,0, ,85, ,96, ,67, ,11.8, ,73, ,1.3, ,197.3, ,2.3, 
2013-01-27,27,124,metric,"95043, 93622",daily,8.2, ,13.3, ,4, ,2.3, ,2.17, ,0, ,66, ,87, ,44, ,10.5, ,142, ,0.7, ,243.9, ,2.8, 
2013-01-28,28,124,metric,"95043, 93622",daily,7.7, ,14.1, ,1.2, ,2, ,2.03, ,0, ,67, ,93, ,45, ,8.5, ,141, ,0.7, ,192.1, ,2.2, 
2013-01-29,29,124,metric,"95043, 93622",daily,9.9, ,13.9, ,4.9, ,4.4, ,1.61, ,0, ,69, ,95, ,53, ,8.4, ,171,R,0.8, ,124.9, ,1.4, 
2013-01-30,30,124,metric,"95043, 93622",daily,8.1, ,17.4, ,1, ,3.8, ,1.87, ,0, ,74, ,96, ,45, ,8.2, ,149, ,0.8, ,89.6, ,1, 
2013-01-31,31,124,metric,"95043, 93622",daily,8.5, ,17.5, ,1.6, ,4.9, ,1.86, ,0, ,78, ,96, ,52, ,8.2, ,148, ,0.9, ,100.5, ,1.2, 
2013-02-01,32,124,metric,"95043, 93622",daily,9.9, ,18.7, ,2.3, ,6.6, ,1.82, ,0, ,80, ,96, ,53, ,8.8, ,146, ,1, ,82.3, ,1, 
2013-02-02,33,124,metric,"95043, 93622",daily,10.6, ,15, ,7.1, ,8.8, ,0.72, ,0, ,89, ,96, ,77, ,10.8, ,68, ,1.1, ,124.8, ,1.4, 
2013-02-03,34,124,metric,"95043, 93622",daily,9.4, ,15.4, ,4.9, ,7.6, ,1.66, ,0, ,89, ,97, ,72, ,13, ,142, ,1, ,149.5, ,1.7, 
2013-02-04,35,124,metric,"95043, 93622",daily,10.4, ,19.3, ,2.7, ,6.6, ,1.93, ,0, ,77, ,96, ,50, ,10.7, ,155, ,1, ,89.8, ,1, 
2013-02-05,36,124,metric,"95043, 93622",daily,8.6, ,13.1, ,5.6, ,7, ,0.84, ,0, ,90, ,98, ,75, ,11.1, ,84, ,1, ,210.4, ,2.4, 
2013-02-06,37,124,metric,"95043, 93622",daily,7.6, ,14.7, ,0.5, ,5.1, ,1.73, ,0, ,84, ,96, ,63, ,9.9, ,142, ,0.9, ,137.4, ,1.6, 
2013-02-07,38,124,metric,"95043, 93622",daily,7.5, ,15.1, ,1, ,4.5, ,1.39, ,0.1, ,82, ,98, ,51, ,10.7, ,112, ,0.8, ,127.5, ,1.5, 
2013-02-08,39,124,metric,"95043, 93622",daily,7.2, ,10.7, ,3.9, ,3.7, ,1.12, ,4.3, ,79, ,93, ,56, ,9.6, ,92, ,0.8, ,223.8, ,2.6, 
2013-02-09,40,124,metric,"95043, 93622",daily,6.3, ,13.5, ,-0.5, ,0.2, ,2.23, ,0, ,65, ,93, ,39, ,9, ,169, ,0.6, ,168.9, ,2, 
2013-02-10,41,124,metric,"95043, 93622",daily,5.8, ,13.9, ,-1.4, ,0.5, ,2.07, ,0, ,69, ,92, ,42, ,8.6, ,167, ,0.6, ,115.9, ,1.3, 
2013-02-11,42,124,metric,"95043, 93622",daily,6.3, ,15.3, ,-1.1, ,1.6, ,1.97, ,0, ,72, ,95, ,43, ,8.2, ,166, ,0.7, ,98.8, ,1.1, 
2013-02-12,43,124,metric,"95043, 93622",daily,7.7, ,16.7, ,-1.1, ,1.5, ,2.16, ,0, ,65, ,94, ,37, ,7.8, ,167, ,0.7, ,94.3, ,1.1, 
2013-02-13,44,124,metric,"95043, 93622",daily,8.7, ,16.6, ,1.5, ,3.1, ,2.26, ,0, ,68, ,90, ,43, ,9.3, ,169, ,0.8, ,111.7, ,1.3, 
2013-02-14,45,124,metric,"95043, 93622",daily,9.8, ,19.3, ,1.5, ,4, ,2.34, ,0, ,67, ,93, ,37, ,10.3, ,172, ,0.8, ,106.7, ,1.2, 
