Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2024-01-01,1,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,4.0, ,13.3, ,-2.7, ,1.7, ,1.24,R,0.0, ,85.0, ,100.0, ,56.0, ,,S,129.0, ,0.7, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-02,2,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,6.6, ,16.8, ,-2.2, ,1.2, ,1.35,R,0.0, ,68.0, ,100.0, ,34.0, ,,S,131.0, ,0.7, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-03,3,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,7.5, ,11.0, ,2.8, ,2.4, ,1.3,R,7.0, ,70.0, ,99.0, ,52.0, ,,S,135.0, ,0.7, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-04,4,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,5.0, ,10.7, ,-1.8, ,0.4, ,1.31,R,0.0, ,72.0, ,89.0, ,55.0, ,,S,138.0, ,0.6, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-05,5,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,4.1, ,14.6, ,-2.1, ,-1.0, ,1.2,R,0.0, ,70.0, ,96.0, ,32.0, ,,S,118.0, ,0.6, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-06,6,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,5.3, ,15.7, ,-5.5, ,-2.1, ,1.38,R,0.0, ,59.0, ,96.0, ,24.0, ,,S,130.0, ,0.5, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-07,7,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,3.7, ,7.7, ,-4.4, ,-3.0, ,1.27,R,0.2, ,61.0, ,81.0, ,41.0, ,,S,146.0, ,0.5, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-08,8,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,0.8, ,10.0, ,-7.1, ,-7.2, ,1.31,R,0.0, ,55.0, ,90.0, ,25.0, ,,S,144.0, ,0.4, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-09,9,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,5.7, ,16.7, ,-5.6, ,-2.4, ,1.42,R,0.0, ,56.0, ,82.0, ,31.0, ,,S,136.0, ,0.5, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-10,10,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,7.9, ,11.5, ,4.2, ,0.0, ,1.42,R,0.0, ,57.0, ,71.0, ,44.0, ,,S,142.0, ,0.6, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-11,11,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,5.2, ,11.4, ,-1.3, ,-4.5, ,1.38,R,0.0, ,50.0, ,76.0, ,19.0, ,,S,148.0, ,0.4, ,38.6,I,0.4,I,2550,34.614981,-118.03249
2024-01-12,12,197,metric,"93534, 93535, 93543, 93550, 93552, 93591",daily,5.9, ,16.5, ,-5.9, ,-9.4, ,1.56,R,0.0, ,32.0, ,69.0, ,15.0, ,,S,147.0, ,0.3, ,38.6,I,0.4,I,2550,34.614981,-118.03249
