Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpMax.Value,DayAirTmpMin.Value,DayDewPnt.Value,DayEto.Value,DayPrecip.Value,DayRelHumAvg.Value,DayRelHumMax.Value,DayRelHumMin.Value,DaySoilTmpAvg.Value,DaySolRadAvg.Value,DayVapPresAvg.Value,DayWindRun.Value,DayWindSpdAvg.Value
2000-01-01,1,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,4.6,12.3,-1.9,4,0.8,0.25,96,100,71,7.7,82,0.8,106.8,1.2
2000-01-02,2,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,4.2,12.2,-4.1,2.9,1.02,0,91,100,64,7,96,0.8,128,1.5
2000-01-03,3,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,5.3,16.1,-2.6,3.7,1.31,0.25,89,100,53,7.2,115,0.8,113.2,1.3
2000-01-04,4,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,6.3,11.4,1.7,6.8,0.43,0.51,100,100,93,7.8,54,1,80,0.9
2000-01-05,5,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,6.4,16.8,-1,3.7,1.49,0.25,83,100,39,8.1,123,0.8,133.9,1.6
2000-01-06,6,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,3.9,12.9,-2.7,2.9,0.87,0,93,100,64,7.2,87,0.8,83.5,1
2000-01-07,7,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,5.7,14.3,-1.5,5.7,1.08,0.25,100,100,75,7.5,104,0.9,97.5,1.1
2000-01-08,8,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,7.5,13.8,3.2,8.1,0.55,0.51,100,100,97,8.7,66,1.1,86.1,1
2000-01-09,9,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,8.9,15.4,4.7,8.3,1.02,0,96,100,69,9.2,88,1.1,116.5,1.3
2000-01-10,10,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,11,13.1,9,11.4,0.44,5.84,100,100,100,10,53,1.3,214.2,2.5
2000-01-11,11,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,10.6,12.9,5,10.9,0.08,12.95,100,100,97,10.8,26,1.3,290.2,3.4
2000-01-12,12,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,6,10.3,2.6,6.1,0.5,0.25,100,100,88,9.5,59,0.9,89.2,1
2000-01-13,13,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,9.9,14.3,4.9,9.8,0.44,2.54,99,100,86,9.6,46,1.2,172.3,2
2000-01-14,14,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,11.8,14.4,9.9,12,0.15,1.78,100,100,97,10.6,30,1.4,90.1,1
2000-01-15,15,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,12.4,15.1,10,11.7,0.42,16,95,100,81,11.2,42,1.4,154.9,1.8
2000-01-16,16,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,9.9,14.2,3,7.6,1.15,8.13,86,100,65,11,86,1,249,2.9
2000-01-17,17,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,7.3,13.1,2.3,7.1,0.81,5.84,99,100,80,9.9,81,1,92.7,1.1
2000-01-18,18,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,10.7,13.4,8.8,11.2,0.24,14.73,100,100,100,10.8,39,1.3,93,1.1
2000-01-19,19,83,metric,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",daily,12.2,15.3,8,12.7,0.23,9.4,100,100,100,11.8,36,1.5,165.7,1.9
