Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpMax.Value,DayAirTmpMin.Value,DayDewPnt.Value,DayEto.Value,DayPrecip.Value,DayRelHumAvg.Value,DayRelHumMax.Value,DayRelHumMin.Value,DaySoilTmpAvg.Value,DaySolRadAvg.Value,DayVapPresAvg.Value,DayWindRun.Value,DayWindSpdAvg.Value
2024-01-01,1,152,metric,"93012, 93011, 93010",daily,13.5,19.6,6.6,6.8,1.99,0,64,99,37,10.7,139,1,99.4,1.2
2024-01-02,2,152,metric,"93012, 93011, 93010",daily,11.4,17.6,5.1,9.1,1.46,0,86,99,58,10.1,128,1.2,49.9,0.6
2024-01-03,3,152,metric,"93012, 93011, 93010",daily,12,16.5,7.2,8.3,1.67,0,78,100,54,10.9,140,1.1,81,0.9
2024-01-04,4,152,metric,"93012, 93011, 93010",daily,9.9,17.4,4,3.6,1.35,0,65,96,37,9.1,120,0.8,47.5,0.6
2024-01-05,5,152,metric,"93012, 93011, 93010",daily,10.8,20.1,3.8,3.8,1.63,0,62,86,30,9.1,138,0.8,51.7,0.6
2024-01-06,6,152,metric,"93012, 93011, 93010",daily,12.3,17.6,4.9,6.1,1.55,0,66,95,46,9.4,128,0.9,62.8,0.7
2024-01-07,7,152,metric,"93012, 93011, 93010",daily,9.5,15.3,1.6,-0.5,1.83,0,50,87,25,9.5,150,0.6,82.9,1
2024-01-08,8,152,metric,"93012, 93011, 93010",daily,8.4,16.4,1,-3.7,1.9,0,42,80,17,7.9,148,0.5,82.3,1
2024-01-09,9,152,metric,"93012, 93011, 93010",daily,8.4,16.5,2.4,0.3,1.61,0,57,84,30,8,144,0.6,47.6,0.6
2024-01-10,10,152,metric,"93012, 93011, 93010",daily,9.2,16.2,3.4,5.3,1.58,0,77,99,52,8.6,144,0.9,57.5,0.7
2024-01-11,11,152,metric,"93012, 93011, 93010",daily,10.2,16,4.3,1.6,1.7,0,55,99,28,9.1,150,0.7,58,0.7
2024-01-12,12,152,metric,"93012, 93011, 93010",daily,8.4,16.3,2.2,0.1,1.66,0,56,82,25,8,149,0.6,52.2,0.6
2024-01-13,13,152,metric,"93012, 93011, 93010",daily,9.3,16.5,3.8,4.7,1.65,0,73,99,38,8.5,145,0.9,49.2,0.6
2024-01-14,14,152,metric,"93012, 93011, 93010",daily,10.5,17.3,4.9,8,1.69,0,85,99,57,9.3,157,1.1,43.5,0.5
2024-01-15,15,152,metric,"93012, 93011, 93010",daily,10.7,18,6,9.3,1.46,0,91,99,61,9.6,132,1.2,48,0.6
2024-01-16,16,152,metric,"93012, 93011, 93010",daily,11.3,18.7,5.2,9.7,1.62,0,90,100,58,9.9,141,1.2,46.7,0.5
2024-01-17,17,152,metric,"93012, 93011, 93010",daily,12.4,14.6,9,12.1,0.06,0,99,100,90,10.4,30,1.4,38.9,0.5
2024-01-18,18,152,metric,"93012, 93011, 93010",daily,13.4,19.4,9.9,11.8,1.55,0,90,100,58,11.5,131,1.4,45.1,0.5
2024-01-19,19,152,metric,"93012, 93011, 93010",daily,13.2,20.8,9.1,11.7,1.14,0,90,100,54,11.4,101,1.4,44.8,0.5
2024-01-20,20,152,metric,"93012, 93011, 93010",daily,13.3,15.2,11.8,12.6,0.14,0,96,100,89,11.4,37,1.5,43.9,0.5
2024-01-21,21,152,metric,"93012, 93011, 93010",daily,13.9,17.9,11.6,12.6,0.78,0,92,100,71,11.8,78,1.5,39.4,0.5
2024-01-22,22,152,metric,"93012, 93011, 93010",daily,14.1,17,11.6,13.8,0.31,0,98,100,89,12.1,48,1.6,42.3,0.5
2024-01-23,23,152,metric,"93012, 93011, 93010",daily,13.3,19.2,8.6,11.9,1.83,0,91,100,67,12.3,157,1.4,52.6,0.6
2024-01-24,24,152,metric,"93012, 93011, 93010",daily,12.7,16.4,8.4,11.3,0.77,0,92,100,71,10.9,78,1.3,41,0.5
2024-01-25,25,152,metric,"93012, 93011, 93010",daily,13.7,18.4,9.4,12.4,1.74,0,92,100,72,12.5,148,1.4,57.8,0.7
2024-01-26,26,152,metric,"93012, 93011, 93010",daily,15.3,23,5.7,3.9,2.93,0,46,99,22,11.1,163,0.8,132.1,1.5
2024-01-27,27,152,metric,"93012, 93011, 93010",daily,21,24.9,17,-0.1,4.62,0,24,33,21,12.7,164,0.6,256.4,3
2024-01-28,28,152,metric,"93012, 93011, 93010",daily,20.9,28.2,14,3.3,3.34,0,31,55,23,14.2,165,0.8,105.4,1.2
2024-01-29,29,152,metric,"93012, 93011, 93010",daily,16.4,25.1,10.7,5.4,2.49,0,48,77,31,13.5,165,0.9,54.7,0.6
2024-01-30,30,152,metric,"93012, 93011, 93010",daily,13.9,20.2,6.8,7.7,2.02,0,66,94,45,12.5,147,1,54.4,0.6
2024-01-31,31,152,metric,"93012, 93011, 93010",daily,13.5,19.5,8.1,10.4,1.82,0,82,99,59,12.5,142,1.3,53.9,0.6
2024-02-01,32,152,metric,"93012, 93011, 93010",daily,12.2,16.5,8.1,11.4,0.98,0,95,100,76,12.2,92,1.3,79.2,0.9
2024-02-02,33,152,metric,"93012, 93011, 93010",daily,10.7,16.5,5,8,1.88,0,83,100,62,10.5,159,1.1,96.1,1.1
