," NDVI (Landsat 5/7/8/9 SR) at -119.7373E,34.4373N, 2003-01-01 to 2023-08-08"
"2003-01-01",0.7696
"2003-01-17",0.8003
"2003-01-25",0.8371
"2003-02-02",0.789
"2003-02-18",0.7704
"2003-02-26",0.7969
"2003-03-06",0.7819
"2003-03-14",0.783
"2003-03-22",0.7799
"2003-03-30",0.8167
"2003-04-07",0.7611
"2003-04-15",0.7833
"2003-05-09",0.7605
"2003-06-26",0.7216
"2003-07-12",0.7099
"2003-07-20",0.7424
"2003-08-13",0.7326
"2003-08-29",0.6747
"2003-10-16",0.6179
"2003-10-24",0.6894
"2003-11-01",0.727
"2003-11-17",0.6534
"2003-11-25",0.721
"2003-12-03",0.7355
"2003-12-19",0.6529
"2003-12-27",0.7706
"2004-01-04",0.7043
"2004-01-12",0.6486
"2004-01-20",0.6509
"2004-01-28",0.7401
"2004-02-05",0.7128
"2004-02-29",0.7435
"2004-03-08",0.6029
"2004-03-16",0.8113
"2004-04-25",0.7149
"2004-05-03",0.7542
"2004-05-11",0.7136
"2004-05-19",0.7461
"2004-06-04",0.756
"2004-06-12",0.6752
"2004-07-14",0.7051
"2004-07-22",0.6888
"2004-07-30",0.6608
"2004-08-07",0.7026
"2004-08-15",0.6678
"2004-08-31",0.6496
"2004-09-08",0.6575
"2004-09-24",0.7003
"2004-10-02",0.6296
"2004-10-10",0.6192
"2004-11-03",0.7642
"2004-11-19",0.7866
"2004-12-13",0.7652
"2004-12-21",0.7418
"2005-01-14",0.8563
"2005-01-22",0.7689
"2005-01-30",0.8419
"2005-02-07",0.1495
"2005-02-23",0.8708
"2005-04-04",0.7706
"2005-04-12",0.7406
"2005-04-20",0.6417
"2005-05-14",0.7808
"2005-05-22",0.8203
"2005-05-30",0.7621
"2005-06-07",0.7832
"2005-07-01",0.7107
"2005-07-09",0.7101
"2005-07-17",0.6821
"2005-07-25",0.7585
"2005-08-10",0.7124
"2005-08-26",0.6422
"2005-09-03",0.6558
"2005-09-11",0.6844
"2005-09-19",0.6527
"2005-09-27",0.7252
"2005-10-05",0.7271
"2005-10-13",0.7358
"2005-10-29",0.7585
"2005-11-06",0.7157
"2005-11-14",0.7893
"2005-11-22",0.7996
"2005-11-30",0.7787
"2005-12-16",0.7035
"2006-01-09",0.7585
"2006-01-17",0.5278
"2006-01-25",0.5801
"2006-02-02",0.7209
"2006-02-10",0.7477
"2006-02-26",0.7129
"2006-03-14",0.7796
"2006-03-22",0.7629
"2006-04-15",0.7223
"2006-05-25",0.749
"2006-06-02",0.7112
"2006-07-04",0.7163
"2006-07-12",0.7404
"2006-07-20",0.7091
"2006-07-28",0.689
"2006-08-05",0.6664
"2006-08-21",0.6603
"2006-08-29",0.6447
"2006-09-06",0.6675
"2006-09-22",0.6749
"2006-10-08",0.7121
"2006-10-24",0.7065
"2006-11-01",0.6963
"2006-11-17",0.7302
"2006-11-25",0.6771
"2006-12-11",0.4669
"2006-12-19",0.7401
"2006-12-27",0.6879
"2007-01-04",0.6209
"2007-01-12",0.6322
"2007-01-20",0.5371
"2007-02-05",0.4364
"2007-02-13",0.5307
"2007-03-01",0.737
"2007-03-17",0.6814
"2007-04-02",0.5645
"2007-04-10",0.768
"2007-04-18",0.7156
"2007-04-26",0.736
"2007-05-04",0.5608
"2007-06-13",0.6771
"2007-06-21",0.6207
"2007-06-29",0.625
"2007-07-07",0.5971
"2007-07-15",0.6064
"2007-08-08",0.5195
"2007-09-01",0.5892
"2007-09-09",0.6003
"2007-09-17",0.6146
"2007-09-25",0.5896
"2007-10-19",0.6217
"2007-11-20",0.4869
"2007-12-22",0.6771
"2008-02-08",0.7401
"2008-02-16",0.7413
"2008-03-03",0.7582
"2008-03-11",0.8254
"2008-03-19",0.7627
"2008-03-27",0.7791
"2008-04-20",0.6845
"2008-05-22",0.6797
"2008-05-30",0.6781
"2008-06-15",0.6325
"2008-06-23",0.6327
"2008-07-01",0.6834
"2008-07-09",0.5841
"2008-07-17",0.5103
"2008-07-25",0.5313
"2008-08-02",0.6678
"2008-08-10",0.6487
"2008-08-26",0.6659
"2008-09-03",0.6339
"2008-09-11",0.5362
"2008-09-19",0.4804
"2008-09-27",0.5405
"2008-10-05",0.6785
"2008-10-13",0.6257
"2008-10-21",0.6663
"2008-10-29",0.6736
"2008-11-06",0.7085
"2008-11-14",0.7227
"2008-12-08",0.4525
"2009-01-09",0.7444
"2009-01-17",0.7774
"2009-02-02",0.8092
"2009-02-10",0.812
"2009-02-18",0.808
"2009-03-06",0.8014
"2009-03-22",0.8223
"2009-03-30",0.7647
"2009-04-07",0.7069
"2009-04-15",0.6818
"2009-05-09",0.5147
"2009-05-17",0.54
"2009-06-18",0.5768
"2009-06-26",0.5361
"2009-07-04",0.573
"2009-07-12",0.5694
"2009-07-20",0.5518
"2009-07-28",0.5343
"2009-08-05",0.5815
"2009-08-21",0.5619
"2009-08-29",0.5961
"2009-09-06",0.5726
"2009-09-22",0.5693
"2009-09-30",0.534
"2009-10-08",0.529
"2009-10-16",0.6254
"2009-10-24",0.6875
"2009-11-01",0.7165
"2009-11-09",0.5309
"2009-11-17",0.7079
"2009-11-25",0.6689
"2009-12-03",0.6356
"2010-01-28",0.8269
"2010-02-13",0.7941
"2010-03-01",0.6526
"2010-03-09",0.798
"2010-03-25",0.7253
"2010-04-18",0.7459
"2010-04-26",0.7274
"2010-05-04",0.7313
"2010-05-12",0.7016
"2010-05-20",0.681
"2010-05-28",0.5698
"2010-06-05",0.6571
"2010-06-13",0.6305
"2010-07-15",0.6129
"2010-08-16",0.6632
"2010-08-24",0.616
"2010-09-01",0.6214
"2010-09-09",0.6405
"2010-10-27",0.6627
"2010-11-04",0.7291
"2010-11-12",0.745
"2010-12-06",0.7142
"2010-12-30",0.7536
"2011-01-07",0.7535
"2011-01-15",0.8182
"2011-01-23",0.8029
"2011-01-31",0.733
"2011-02-08",0.8002
"2011-03-12",0.8055
"2011-03-28",0.8051
"2011-04-05",0.785
"2011-04-13",0.7014
"2011-04-29",0.7025
"2011-05-15",0.6785
"2011-05-23",0.6821
"2011-07-02",0.6814
"2011-07-10",0.6429
"2011-07-18",0.6743
"2011-07-26",0.6594
"2011-08-03",0.6384
"2011-08-19",0.574
"2011-08-27",0.6107
"2011-09-04",0.5682
"2011-09-12",0.5422
"2011-10-06",0.6465
"2011-10-22",0.6893
"2011-10-30",0.6502
"2011-11-07",0.6826
"2011-11-15",0.2216
"2011-12-01",0.67
"2012-01-18",0.7085
"2012-02-03",0.7882
"2012-02-19",0.776
"2012-03-06",0.7629
"2012-03-22",0.7505
"2012-04-07",0.7496
"2012-05-09",0.7035
"2012-05-25",0.6168
"2012-06-26",0.5998
"2012-07-28",0.535
"2012-08-13",0.5282
"2012-09-14",0.5901
"2012-09-30",0.5987
"2012-10-16",0.5816
"2013-01-04",0.7866
"2013-01-20",0.7011
"2013-02-21",0.8089
"2013-03-09",0.8015
"2013-03-22",0.8209
"2013-03-27",0.8191
"2013-04-10",0.7499
"2013-04-18",0.8018
"2013-04-26",0.7448
"2013-05-12",0.7572
"2013-05-20",0.7863
"2013-05-28",0.7455
"2013-06-05",0.7174
"2013-06-21",0.7099
"2013-06-29",0.6767
"2013-07-07",0.7325
"2013-07-15",0.6975
"2013-07-23",0.7272
"2013-08-08",0.7339
"2013-08-16",0.6864
"2013-08-24",0.7332
"2013-09-09",0.6928
"2013-09-25",0.7186
"2013-10-11",0.6968
"2013-10-19",0.6915
"2013-10-27",0.7801
"2013-11-04",0.7131
"2013-12-06",0.6895
"2013-12-14",0.7126
"2013-12-22",0.6268
"2013-12-30",0.6791
"2014-01-15",0.6776
"2014-01-23",0.6325
"2014-02-16",0.7152
"2014-02-24",0.6195
"2014-03-12",0.7394
"2014-03-28",0.5669
"2014-04-05",0.7378
"2014-04-29",0.6051
"2014-05-07",0.5585
"2014-05-31",0.4396
"2014-07-18",0.3209
"2014-07-26",0.3418
"2014-08-11",0.3756
"2014-08-27",0.4137
"2014-09-12",0.4042
"2014-09-28",0.4475
"2014-10-06",0.4266
"2014-10-22",0.5276
"2014-10-30",0.5343
"2014-11-07",0.4803
"2014-11-15",0.5591
"2014-11-23",0.5292
"2014-12-09",0.6611
"2014-12-17",0.6746
"2014-12-25",0.6829
"2015-01-02",0.7142
"2015-01-18",0.6475
"2015-02-03",0.8164
"2015-02-27",0.8127
"2015-03-07",0.8214
"2015-03-23",0.8103
"2015-03-31",0.6684
"2015-04-08",0.6931
"2015-04-16",0.6456
"2015-05-02",0.6119
"2015-05-10",0.6117
"2015-05-18",0.6345
"2015-06-19",0.6571
"2015-06-27",0.6065
"2015-07-13",0.4947
"2015-07-29",0.4465
"2015-08-14",0.4153
"2015-08-30",0.3915
"2015-09-07",0.3885
"2015-09-15",0.4085
"2015-09-23",0.4291
"2015-10-01",0.4589
"2015-10-09",0.4474
"2015-10-17",0.5239
"2015-11-10",0.5818
"2015-11-18",0.6109
"2015-12-04",0.6659
"2015-12-12",0.7206
"2016-01-29",0.6791
"2016-02-06",0.8231
"2016-02-14",0.8134
"2016-02-22",0.8212
"2016-03-01",0.7759
"2016-03-09",0.8694
"2016-03-17",0.7654
"2016-03-25",0.7363
"2016-04-02",0.7259
"2016-04-18",0.7097
"2016-04-26",0.646
"2016-05-12",0.7423
"2016-06-13",0.6252
"2016-06-21",0.5048
"2016-06-29",0.5696
"2016-07-15",0.6386
"2016-07-31",0.696
"2016-08-16",0.7188
"2016-08-24",0.6208
"2016-09-01",0.702
"2016-09-17",0.7036
"2016-09-25",0.6824
"2016-10-03",0.7174
"2016-10-19",0.7682
"2016-11-04",0.7172
"2016-11-20",0.7837
"2016-11-28",0.52
"2016-12-06",0.598
"2016-12-14",0.5959
"2016-12-22",0.8019
"2017-01-15",0.8176
"2017-01-31",0.8047
"2017-02-24",0.7359
"2017-03-04",0.6042
"2017-03-12",0.8244
"2017-03-20",0.6464
"2017-03-28",0.7794
"2017-04-05",0.7506
"2017-04-21",0.7586
"2017-04-29",0.7978
"2017-05-15",0.744
"2017-06-08",0.4446
"2017-06-16",0.7532
"2017-06-24",0.652
"2017-07-18",0.7252
"2017-07-26",0.6434
"2017-08-03",0.6393
"2017-08-11",0.5843
"2017-08-27",0.6056
"2017-09-28",0.5866
"2017-10-06",0.6447
"2017-10-14",0.6175
"2017-10-22",0.6932
"2017-11-07",0.717
"2017-11-23",0.7427
"2017-12-01",0.701
"2017-12-09",0.2623
"2017-12-17",0.506
"2018-01-10",0.7759
"2018-01-18",0.7977
"2018-01-26",0.7822
"2018-02-03",0.8041
"2018-02-11",0.809
"2018-02-19",0.7771
"2018-02-27",0.8049
"2018-03-15",0.8666
"2018-03-23",0.7984
"2018-04-08",0.684
"2018-04-16",0.7331
"2018-05-10",0.7207
"2018-05-26",0.7212
"2018-06-03",0.7602
"2018-06-11",0.7266
"2018-06-19",0.7684
"2018-06-27",0.7335
"2018-07-21",0.6964
"2018-07-29",0.5685
"2018-08-06",0.6469
"2018-08-22",0.6295
"2018-09-07",0.7069
"2018-09-15",0.6063
"2018-09-23",0.6981
"2018-10-01",0.6903
"2018-10-09",0.599
"2018-10-17",0.6667
"2018-10-25",0.7106
"2018-11-02",0.7508
"2018-11-10",0.7133
"2018-11-18",0.6399
"2018-11-26",0.7724
"2018-12-04",0.7687
"2018-12-12",0.8084
"2018-12-20",0.7385
"2018-12-28",0.7861
"2019-01-21",0.8279
"2019-01-29",0.8404
"2019-02-06",0.8411
"2019-02-22",0.826
"2019-03-18",0.8269
"2019-03-26",0.798
"2019-04-19",0.8021
"2019-05-21",0.7739
"2019-05-29",0.7557
"2019-06-30",0.6912
"2019-07-16",0.6841
"2019-07-24",0.7126
"2019-08-01",0.6696
"2019-08-09",0.6622
"2019-08-25",0.6852
"2019-09-02",0.6331
"2019-09-18",0.628
"2019-10-04",0.6138
"2019-10-12",0.635
"2019-10-20",0.5664
"2019-10-28",0.6075
"2019-11-05",0.5913
"2019-11-29",0.7155
"2019-12-15",0.7865
"2019-12-31",0.7953
"2020-01-08",0.7427
"2020-01-24",0.6167
"2020-02-01",0.829
"2020-02-17",0.7844
"2020-02-25",0.7855
"2020-03-28",0.788
"2020-04-21",0.7956
"2020-05-07",0.6054
"2020-05-15",0.6805
"2020-06-08",0.7149
"2020-07-10",0.689
"2020-07-18",0.635
"2020-07-26",0.6108
"2020-08-03",0.5936
"2020-08-11",0.6105
"2020-08-19",0.5868
"2020-08-27",0.6104
"2020-09-04",0.579
"2020-09-20",0.5412
"2020-10-14",0.6304
"2020-10-30",0.6571
"2020-11-15",0.7121
"2020-11-23",0.6685
"2020-12-01",0.7342
"2020-12-09",0.6909
"2020-12-17",0.7094
"2020-12-25",0.6212
"2021-01-02",0.7437
"2021-01-10",0.4039
"2021-01-18",0.7699
"2021-01-26",0.7936
"2021-02-03",0.744
"2021-02-11",0.406
"2021-02-19",0.8547
"2021-02-27",0.8089
"2021-03-15",0.8097
"2021-03-23",0.7958
"2021-03-31",0.79
"2021-04-08",0.8063
"2021-05-02",0.7618
"2021-05-18",0.7364
"2021-05-26",0.742
"2021-06-11",0.7101
"2021-06-27",0.7887
"2021-07-13",0.655
"2021-07-21",0.6186
"2021-07-29",0.6678
"2021-08-06",0.6378
"2021-08-30",0.7244
"2021-09-07",0.6937
"2021-09-15",0.7133
"2021-10-01",0.7019
"2021-10-09",0.7362
"2021-10-17",0.7186
"2021-11-02",0.7823
"2021-11-10",0.8048
"2021-11-26",0.7373
"2021-12-12",0.7225
"2021-12-20",0.8171
"2021-12-28",0.7745
"2022-01-05",0.8079
"2022-01-21",0.8325
"2022-02-06",0.7907
"2022-02-14",0.6257
"2022-02-22",0.816
"2022-03-02",0.7946
"2022-03-10",0.794
