," NDVI (Landsat 5/7/8/9 SR) at California, 2003-01-01 to 2022-08-08"
"2003-01-06",0.7313
"2003-01-15",0.791
"2003-02-07",0.8152
"2003-02-08",0.8785
"2003-02-16",0.8194
"2003-02-23",0.655
"2003-03-04",0.8266
"2003-03-11",0.8431
"2003-03-19",0.7875
"2003-03-20",0.8494
"2003-03-27",0.8259
"2003-03-28",0.8797
"2003-04-04",0.8585
"2003-04-05",0.8325
"2003-04-21",0.7404
"2003-05-07",0.759
"2003-05-14",0.6948
"2003-05-22",0.7185
"2003-05-23",0.6755
"2003-05-31",0.3274
"2003-06-15",0.4509
"2003-06-24",0.5042
"2003-07-01",0.5937
"2003-07-10",0.6626
"2003-07-17",0.7223
"2003-07-18",0.7445
"2003-07-26",0.7554
"2003-08-02",0.7105
"2003-08-03",0.7851
"2003-08-11",0.744
"2003-08-18",0.727
"2003-08-19",0.7593
"2003-08-27",0.7047
"2003-09-03",0.644
"2003-09-12",0.642
"2003-09-19",0.6237
"2003-09-20",0.6619
"2003-10-05",0.7053
"2003-10-06",0.746
"2003-10-13",0.7772
"2003-10-14",0.7461
"2003-10-21",0.7003
"2003-11-22",0.6476
"2003-11-23",0.6553
"2003-12-08",0.6849
"2004-02-03",0.3264
"2004-02-10",0.7907
"2004-02-11",0.8258
"2004-02-18",0.8124
"2004-03-06",0.8297
"2004-03-13",0.8287
"2004-03-14",0.8014
"2004-03-21",0.8738
"2004-03-22",0.8373
"2004-03-29",0.812
"2004-04-22",0.8493
"2004-04-23",0.8276
"2004-04-30",0.7247
"2004-05-08",0.7147
"2004-05-09",0.7066
"2004-05-16",0.5328
"2004-05-17",0.4753
"2004-06-01",0.3359
"2004-06-02",0.3323
"2004-06-09",0.4894
"2004-06-10",0.4726
"2004-06-25",0.676
"2004-06-26",0.6352
"2004-07-03",0.6968
"2004-07-04",0.7245
"2004-07-11",0.7586
"2004-07-12",0.7663
"2004-07-19",0.787
"2004-07-20",0.8063
"2004-07-27",0.7894
"2004-07-28",0.7268
"2004-08-04",0.6876
"2004-08-13",0.705
"2004-08-20",0.6956
"2004-08-21",0.7225
"2004-08-28",0.7057
"2004-08-29",0.6137
"2004-09-05",0.7051
"2004-09-06",0.7141
"2004-09-13",0.6565
"2004-09-14",0.6297
"2004-09-21",0.7172
"2004-10-07",0.7437
"2004-10-08",0.7855
"2004-10-24",0.7226
"2004-10-31",0.7115
"2004-11-01",0.6928
"2004-11-17",0.642
"2004-11-24",0.5993
"2004-12-02",0.6485
"2004-12-03",0.6509
"2004-12-10",0.6484
"2004-12-18",0.7048
"2005-01-11",0.7538
"2005-01-12",0.7619
"2005-01-28",0.8006
"2005-02-04",0.5649
"2005-02-05",0.6985
"2005-02-12",0.7433
"2005-03-01",0.8457
"2005-03-08",0.8907
"2005-03-09",0.8658
"2005-03-16",0.6322
"2005-03-25",0.8954
"2005-04-01",0.8343
"2005-04-09",0.8515
"2005-04-10",0.8277
"2005-04-17",0.8195
"2005-04-26",0.7831
"2005-05-11",0.7892
"2005-05-12",0.7508
"2005-05-19",0.4335
"2005-05-20",0.7335
"2005-05-27",0.4564
"2005-05-28",0.4183
"2005-06-04",0.332
"2005-06-05",0.3379
"2005-06-12",0.3467
"2005-06-13",0.341
"2005-06-20",0.3729
"2005-06-28",0.4028
"2005-06-29",0.5011
"2005-07-06",0.5248
"2005-07-07",0.5358
"2005-07-14",0.5806
"2005-07-15",0.5894
"2005-07-22",0.6193
"2005-07-23",0.6673
"2005-07-30",0.6995
"2005-07-31",0.696
"2005-08-07",0.6609
"2005-08-16",0.7012
"2005-08-23",0.7273
"2005-08-24",0.708
"2005-08-31",0.6411
"2005-09-01",0.5747
"2005-09-17",0.6155
"2005-09-24",0.5103
"2005-09-25",0.5042
"2005-10-02",0.557
"2005-10-03",0.5649
"2005-10-10",0.5807
"2005-10-11",0.6018
"2005-10-19",0.605
"2005-11-03",0.712
"2005-11-12",0.767
"2005-11-19",0.7791
"2005-11-20",0.7635
"2005-12-05",0.71
"2006-01-15",0.7329
"2006-01-22",0.6855
"2006-01-23",0.6925
"2006-02-07",0.751
"2006-02-08",0.7561
"2006-02-15",0.7404
"2006-02-16",0.8002
"2006-02-24",0.7487
"2006-03-11",0.8187
"2006-04-20",0.8121
"2006-05-06",0.7159
"2006-05-14",0.7248
"2006-05-15",0.7606
"2006-05-22",0.7103
"2006-05-30",0.6651
"2006-05-31",0.6014
"2006-06-07",0.2728
"2006-06-08",0.2771
"2006-06-16",0.3044
"2006-06-23",0.3024
"2006-07-01",0.4666
"2006-07-02",0.442
"2006-07-09",0.5161
"2006-07-10",0.5518
"2006-07-17",0.6101
"2006-07-18",0.6147
"2006-07-25",0.6715
"2006-08-02",0.6944
"2006-08-03",0.7014
"2006-08-10",0.7551
"2006-08-11",0.7743
"2006-08-19",0.7776
"2006-08-26",0.6991
"2006-08-27",0.7112
"2006-09-03",0.6361
"2006-09-04",0.6211
"2006-09-11",0.5319
"2006-09-12",0.5896
"2006-09-20",0.641
"2006-09-27",0.6372
"2006-10-22",0.6792
"2006-10-29",0.5399
"2006-11-06",0.5364
"2006-11-07",0.6364
"2006-11-14",0.7139
"2006-11-23",0.774
"2006-11-30",0.6899
"2006-12-01",0.7272
"2006-12-17",0.7261
"2007-01-01",0.6729
"2007-01-09",0.6835
"2007-01-17",0.6759
"2007-01-18",0.6876
"2007-02-02",0.5522
"2007-02-03",0.6124
"2007-02-11",0.6936
"2007-02-18",0.7252
"2007-03-06",0.7745
"2007-03-14",0.6502
"2007-03-15",0.8484
"2007-03-22",0.8448
"2007-03-23",0.8952
"2007-03-30",0.762
"2007-03-31",0.8638
"2007-04-15",0.8416
"2007-04-16",0.844
"2007-04-23",0.8262
"2007-05-09",0.7766
"2007-05-10",0.7971
"2007-05-18",0.6669
"2007-05-25",0.7018
"2007-06-02",0.4415
"2007-06-18",0.5253
"2007-06-19",0.4943
"2007-06-26",0.5648
"2007-07-04",0.679
"2007-07-05",0.6654
"2007-07-12",0.6963
"2007-07-21",0.6566
"2007-07-28",0.6871
