CIMIS Station Number,Date of Image,"Description of Turf (good, poor, bad)",Area of green lawn immediately around station (m2),Maximum amount of green lawn (m2),Notes,"Use 360 Meter Polygon = 45 m around point of interest.360 is 8,100meters^2",,,,,,Total area of lawn surrounding station (m2)
91,7/2003,good,2075,6978,"blurry image,area covered",,,,,,,2234.99
91,8/2003,bad,n/a,6978,"blurry image, dry month",,,,,,,
91,5/2004,poor,1867,6978,,,,,,,,
91,7/2004,poor,n/a,6978,bad quality image,,,,,,,
91,10/2004,good,1773,6978,Some lines were added,,,,,,,
91,8/2005,poor,1288,6978,"3 images, about 50% covered",,,,,,,
91,12/2005,poor,1222,6978,about 50% covered,,,,,,,2356.72
91,8/2006,poor,863,6978,"3 images, poor quality, dry area",,,,,,,
91,6/2009,bad,n/a,6978,"poor quality, dry area",,,,,,,
91,9/2010,bad,n/a,6978,"poor quality, dry area",,,,,,,
91,11/2011,bad,n/a,6978,"bad quality and blurry image, ",,,,,,,
91,9/2012,poor,1741,6978,"mostly dry, small patch of turf",,,,,,,3847.84
91,7/2014,good,3453.3,6978,"overall good, some section were cut off/ dried off",,,,,,,3863.59
91,5/2017,poor,277,6978,"most of the turf is dry, slightly green",,,,,,,
91,4/2020,poor,200,6978,"area drying off, small patch of turf",,,,,,,
91,7/2022,good,4003.5,6978,some areas are sectioned off,,,,,,,4188.71
147,11/2003,good,6463,7213,Area has an unvegetated areas on NW,,,,,,,"4,045"
147,12/2003,good,6526,7213,fix,,,,,,,4045
147,06/2004,good,7103,7213,loooked smaller,,,,,,,4045
147,07/2004,good,6985,7213,looked smaller,,,,,,,
147,09/2004,good,6463,7213,,,,,,,,
147,05/2005,good,6447,7213,,,,,,,,
147,08/2005,good,6190.6,7213,blurry,,,,,,,
147,09/2005,good,6328,7213,two images,,,,,,,
147,12/2005,good ,6143,7213,blurry,,,,,,,4058
147,02/2006,good,6489.6,7213,,,,,,,,4058
147,05/2006,good,6489.6,7213,,,,,,,,
147,12/2006,good,6074,7213,really blurry,,,,,,,
147,02/2008,good,6406,7213,,,,,,,,
147,03/2008,good,6277,7213,,,,,,,,
147,06/2009,poor,5779,7213,blurry pic and patchy grass,,,,,,,
147,03/2010,good,6371,7213,,,,,,,,
147,08/2010,poor,5493.9,7213,,,,,,,,
147,09/2010,poor,6294,7213,blurry non veg beknds in ,,,,,,,
147,11/2011,poor,4412,7213,"dark image, blurry",,,,,,,
147,12/2011,NA,NA,7213,black/white picture,,,,,,,
147,10/2012,bad,4416,7213,,,,,,,,
147,11/2012,bad,2946,7213,,,,,,,,
147,11/2013,bad,3086,7213,,,,,,,,
147,01/2014,poor,5401,7213,has three  images ,,,,,,,
147,05/2014,bad,4648.64,7213,,,,,,,,
147,12/2014,bad,4978,7213,,,,,,,,
147,1/2015,poor,5340,7213,,,,,,,,
147,03/2015,poor,5621,7213,,,,,,,,
147,04/2015,bad,5112.3,7213,,,,,,,,
147,03/2016,poor,5543,7213,,,,,,,,
147,10/2016,NA,NA,7213,blurry cant determine,,,,,,,
147,11/2016,bad,4864,7213,,,,,,,,
147,1/2017,N/A,N/A,7213,blurry cant determine,,,,,,,
147,04/2017,bad,4525,7213,blurry image ,,,,,,,
147,12/2017,bad,0,7213,,,,,,,,
147,08/2018,poor,5988.46,7213,,,,,,,,
147,11/2018,poor,5615.23,7213,,,,,,,,
147,08/2019,poor,5391,7213,,,,,,,,
147,01/2020,poor,5571,7213,,,,,,,,
147,03/2020,good,6474,7213,blurry,,,,,,,
147,12/2020,good,6130.91,7213,,,,,,,,
147,02/2021,good,6437,7213,blurry,,,,,,,
147,07/2021,bad,4930.56,7213,,,,,,,,
147,03/2022,good,6345.58,7213,,,,,,,,
147,04/2022,good,N/A,7213,blurry,,,,,,,
147,04/2023,poor,6172.7,7213,,,,,,,,
68,07/2003,poor,6252,6430,blurry oicture ,,,,,,,
68,07/2005,bad,1611,6430,brwon grass,,,,,,,
68,08/2005,NA,NA,6430,blurry cannot determine green area,,,,,,,
68,12/2005,bad,937,6430,yellow grass,,,,,,,
68,01/2006,poor,5004,6430,,,,,,,,
68,08/2006,bad,0,6430,blurry but can determine no green grass,,,,,,,
68,09/2006,poor,5528,6430,check again,,,,,,,
68,02/2008,bad,2204,6430,,,,,,,,
68,06/2009,bad,3137,6430,blurry ,,,,,,,
68,09/2010,bad,0,6430,,,,,,,,
68,06/2011,bad,2119,6430,,,,,,,,
68,06/2012,bad,952,6430,,,,,,,,
68,03/2014,poor,3573,6430,ask about poor or bad,,,,,,,
68,07/2014,bad,2564,6430,,,,,,,,
68,09/2014,poor,3463.9,6430,ask about poor or bad,,,,,,,
68,12/2014,poor,5162,6430,two pictures ,,,,,,,
