original_station_name,included,Latitude,Longitude,original_network_id,Elev_m,record_start,record_end,record_length,etr_obs_count,gridmet_comparison_notes,Source,State,correction_notes,wind_instrumentation
Firebaugh/Telles,FALSE,36.85125,-120.591,7,56.388,01/02/94 12:00 AM,12/01/18 12:00 AM,24.91221586,8883,"Station in between large trees, reducing windspeed",CIMIS,CA,"Removed 100 days of bad Rs data due to severe drift, and removed several Rs spikes",#014A Met-One
Castroville,FALSE,36.76826,-121.774,19,2.7432,01/02/94 12:00 AM,12/31/18 12:00 AM,24.99435307,7311,"Gridmet temp and rs high, station uz and rh high, data isnt lining up well, recommend removal",CIMIS,CA,"Removed 4 sections of Ea spikes, removed a multiyear period of windspeed that looked deflated",#014A Met-One
Bishop,FALSE,37.35861,-118.405,35,1271.016,01/02/94 12:00 AM,12/31/18 12:00 AM,24.99435307,8869,"This is not an agricultural field, I am unsure of what it is supposed to be.",CIMIS,CA,Removed two sections of flat uz data,#014A Met-One
Calipatria,FALSE,33.04315,-115.416,41,-33.528,01/02/94 12:00 AM,12/31/18 12:00 AM,24.99435307,8854,"This is not an agricultural field, I am unsure of what it is supposed to be.",CIMIS,CA,removed one section of flat uz data,#014A Met-One
San Luis Obispo,FALSE,35.30544,-120.662,52,100.584,01/02/94 12:00 AM,12/31/18 12:00 AM,24.99435307,8789,"Field on campus within a city, lots of trees possibly reducing windspeed",CIMIS,CA,"Removed approx. one year of bad uz values, removed all ea before 2000",#014A Met-One
Blackwells Corner,FALSE,35.64986,-119.959,54,214.884,01/11/00 12:00 AM,12/31/18 12:00 AM,18.97095765,6730,"CIMIS identifies station as being impacted by nearby orchard,",CIMIS,CA,"Removed all uz before 2000, doesnâ€™t seem to have been calibrated correctly, removed 1 flat section uz, one spike precip, ea seems messy but left alone",#014A Met-One
Santa Rosa,FALSE,38.40355,-122.8,83,24.384,01/04/94 12:00 AM,12/31/18 12:00 AM,24.98887725,9004,"Unsure if field station is on is irrigated, station uz low and station rh high, large nearby reservoir may be impacting data, recommend removal.",CIMIS,CA,"Removed 4 sections of uz data, 3 sections of ea spikes",#014A Met-One
Hopland,FALSE,39.00675,-123.08,85,343.8144,01/02/94 12:00 AM,12/29/15 12:00 AM,21.98813117,7951,"Station is in recreation area, not an agricultural reference",CIMIS,CA,"Removed ea data before 1995 as it was bad, 40% correction for rs in 1 place.",#014A Met-One
Windsor,FALSE,38.52682,-122.814,103,27.432,01/02/94 12:00 AM,12/31/18 12:00 AM,24.99435307,8901,"golf course next to several groups of trees, uz is reduced",CIMIS,CA,Default corrections,#014A Met-One
Winters,FALSE,38.50126,-121.979,139,41.4528,06/16/98 12:00 AM,12/28/18 12:00 AM,20.53430255,7426,"Station in small field between rows of large trees, reducing windspeed, some surrounding fields are orchards as well. Recommend removal.",CIMIS,CA,"RH sensor drift but ea looks fine, rs 20% correction in multiple places",#014A Met-One
Petaluma,FALSE,38.26643,-122.616,144,29.5656,08/26/99 12:00 AM,12/31/18 12:00 AM,19.34878882,6686,"Golf course, station appears to be right next to line of trees",CIMIS,CA,Removed spike in uz data,#014A Met-One
Bennett Valley,FALSE,38.41944,-122.659,158,82.296,10/02/00 12:00 AM,12/27/18 12:00 AM,18.23446067,6370,"golf course in between two rows of trees, uz is reduced",CIMIS,CA,"Removed ea spike, removed multiple flat uz sections",#014A Met-One
Sisquoc,FALSE,34.84188,-120.213,165,163.3728,04/27/00 12:00 AM,12/31/18 12:00 AM,18.6780016,6165,Station uz impacted by nearby rows of trees,CIMIS,CA,"Removed ea and precip spikes, removed bad sections of uz data, rs 20% correction in places",#014A Met-One
Union City,FALSE,37.59876,-122.053,171,4.8768,02/06/01 12:00 AM,12/31/18 12:00 AM,17.8976981,5934,"station on golf course next to row of trees, uz is impacted",CIMIS,CA,"Removed two flat uz sections, two bad ea sections, and rs required 20% correction in one place",#014A Met-One
