Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long,dT,bT,aT,Tmax_corr,Tmin_corr,Tdew_corr,AI,Tmax_diff,Tmin_diff,Tdew_diff,Tmax_diff_avg,Tmin_diff_avg,Tdew_diff_avg,ETo_uncor,ETo_corr,ETo_CIMIS,d_ETo,d_ETo_avg,ETo_%_diff,ETo_%_diff_monthly_avg,NDVI,NDVI_interp
2003-01-01,1,2,metric,93624,daily,6.8, ,13.0, ,1.6, ,5.7, ,,N,0.0, ,93.0, ,99.0, ,77.0, ,9.5, ,121.0, ,0.9, ,153.6, ,1.8, ,285,36.336222,-120.11291,-4.1,0.3,2.5,13.0,1.6,5.7,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8644132387145627,0.8644132387145627,,0.0,,0.0,,0.3607,0.5587609375
2003-01-02,2,2,metric,93624,daily,7.1, ,12.3, ,2.0, ,6.3, ,,N,0.2, ,95.0, ,100.0, ,80.0, ,9.3, ,83.0, ,1.0, ,124.6, ,1.4, ,285,36.336222,-120.11291,-4.3,0.3,2.5,12.3,2.0,6.3,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.6783829885012325,0.6783829885012325,,0.0,,0.0,,,0.56515
2003-01-03,3,2,metric,93624,daily,6.9, ,12.5, ,3.3, ,6.7, ,,N,0.1, ,98.0, ,100.0, ,87.0, ,9.3, ,82.0, ,1.0, ,130.9, ,1.5, ,285,36.336222,-120.11291,-3.4000000000000004,0.3,2.5,12.5,3.3,6.7,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7239732864795361,0.7239732864795361,,0.0,,0.0,,,0.5711023109243697
2003-01-04,4,2,metric,93624,daily,6.4, ,10.1, ,4.1, ,6.6, ,,N,0.2, ,100.0, ,100.0, ,100.0, ,9.4, ,55.0, ,1.0, ,176.9, ,2.0, ,285,36.336222,-120.11291,-2.5,0.3,2.5,10.1,4.1,6.6,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5368809620585598,0.5368809620585598,,0.0,,0.0,,,0.5766553061224489
2003-01-05,5,2,metric,93624,daily,7.5, ,9.4, ,4.2, ,7.6, ,,N,0.2, ,100.0, ,100.0, ,98.0, ,9.5, ,31.0, ,1.0, ,187.1, ,2.2, ,285,36.336222,-120.11291,-3.3999999999999995,0.3,2.5,9.4,4.2,7.6,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2646947044311509,0.2646947044311509,,0.0,,0.0,,,0.5818422619047618
2003-01-06,6,2,metric,93624,daily,8.3, ,11.7, ,3.9, ,7.5, ,,N,0.0, ,95.0, ,100.0, ,82.0, ,10.1, ,53.0, ,1.0, ,110.9, ,1.3, ,285,36.336222,-120.11291,-3.6,0.3,2.5,11.7,3.9,7.5,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5555472537688679,0.5555472537688679,,0.0,,0.0,,,0.5866928571428571
2003-01-07,7,2,metric,93624,daily,6.5, ,7.0, ,0.0, ,6.7, ,0.21, ,0.0,R,100.0, ,100.0, ,99.0, ,9.2, ,24.0, ,1.0, ,209.6, ,2.4, ,285,36.336222,-120.11291,-6.7,0.3,2.5,7.0,0.0,6.7,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.1665039541707124,0.1665039541707124,0.21,0.0,,0.0,,,0.5912336466165413
2003-01-08,8,2,metric,93624,daily,5.9, ,7.8, ,3.8, ,6.1, ,0.07, ,0.0, ,100.0, ,100.0, ,98.0, ,9.1, ,29.0, ,0.9, ,149.4, ,1.7, ,285,36.336222,-120.11291,-2.3,0.3,2.5,7.8,3.8,6.1,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2496887762634449,0.2496887762634449,0.07,0.0,,0.0,,,0.5954884615384615
2003-01-09,9,2,metric,93624,daily,7.7, ,11.4, ,5.1, ,7.8, ,0.08, ,0.1, ,100.0, ,100.0, ,90.0, ,9.1, ,31.0, ,1.1, ,146.8, ,1.7, ,285,36.336222,-120.11291,-2.7,0.3,2.5,11.4,5.1,7.8,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.4060397897405714,0.4060397897405714,0.08,0.0,,0.0,,,0.5994787500000001
2003-01-10,10,2,metric,93624,daily,11.5, ,14.5, ,7.7, ,10.5, ,0.46, ,4.9, ,94.0, ,100.0, ,82.0, ,10.1, ,47.0, ,1.3, ,251.0, ,2.9, ,285,36.336222,-120.11291,-2.8,0.3,2.5,14.5,7.7,10.5,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.6600613823103944,0.6600613823103944,0.46,0.0,,0.0,,,0.5962280487804877
2003-01-11,11,2,metric,93624,daily,9.8, ,13.9, ,7.6, ,9.8, ,0.52, ,0.2, ,100.0, ,100.0, ,91.0, ,10.9, ,64.0, ,1.2, ,108.5, ,1.3, ,285,36.336222,-120.11291,-2.200000000000001,0.3,2.5,13.9,7.6,9.8,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7130758671692349,0.7130758671692349,0.52,0.0,,0.0,,,0.593932738095238
2003-01-12,12,2,metric,93624,daily,7.7, ,12.3, ,5.1, ,7.9, ,0.47, ,0.3, ,100.0, ,100.0, ,98.0, ,10.6, ,63.0, ,1.1, ,177.4, ,2.1, ,285,36.336222,-120.11291,-2.8000000000000007,0.3,2.5,12.3,5.1,7.9,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.6763249464664541,0.6763249464664541,0.47,0.0,,0.0,,,0.5925261627906977
2003-01-13,13,2,metric,93624,daily,7.3, ,11.8, ,2.6, ,7.6, ,0.66, ,0.2, ,100.0, ,100.0, ,100.0, ,10.3, ,78.0, ,1.0, ,107.7, ,1.2, ,285,36.336222,-120.11291,-5.0,0.3,2.5,11.8,2.6,7.6,0.1389637105184754,0.0,0.0,0.0,-0.0,-0.0,0.0,0.564418812629633,0.564418812629633,0.66,0.0,,0.0,,,0.5919477272727273
