,StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc,ETo_Qc_fraction,Pr_Qc_fraction,Rs_Qc_fraction,Tmax_Qc_fraction,Tmin_Qc_fraction,Tdew_Qc_fraction,Perc_month_missing_ETo_10+
0,2,FivePoints,Five Points,South Central Region Office,Fresno,6/7/1982,12/31/2050,True,True,285,Grass,36.336222,-120.11291,['93624'],,0.9771619975639464,0.9841656516443362,0.9199147381242389,0.968026796589525,0.9524969549330086,0.9500609013398296,0.10424710424710425
1,6,Davis,Davis,North Central Region Office,Yolo,7/17/1982,12/31/2050,True,True,60,Grass,38.535694,-121.77636,"['95618', '95617', '95616']",,0.980816077953715,0.9869062119366626,0.9613276492082826,0.969549330085262,0.9442752740560292,0.9314859926918392,0.04633204633204633
2,7,Firebaugh/Telles,Firebaugh,South Central Region Office,Fresno,9/22/1982,12/31/2050,True,True,185,Grass,36.851222,-120.59092,"['93622', '93665', '93620']",,0.8982947624847747,0.9826431181485992,0.809987819732034,0.9595006090133984,0.9412302070645554,0.9363580998781972,0.23552123552123552
3,12,Durham,Chico,Northern Region Office,Butte,10/19/1982,12/31/2050,True,True,130,Grass,39.608639,-121.82443,"['95974', '95958', '95938']",,0.9351400730816076,0.989646772228989,0.9661997563946408,0.9634591961023142,0.9436662606577344,0.9451887941534712,0.05791505791505792
4,13,Camino,Placerville,North Central Region Office,El Dorado,10/19/1982,12/31/2050,True,True,2780,Grass,38.753136,-120.7336,"['95667', '95709']",,0.970462850182704,0.9899512789281364,0.9470158343483556,0.9159561510353228,0.9196102314250914,0.8995127892813641,0.16602316602316602
5,15,Stratford,Stratford,South Central Region Office,Kings,10/29/1982,12/31/2050,True,True,193,Grass,36.157972,-119.85143,"['93246', '93245', '93234', '93202', '93266']",,0.9646772228989038,0.9866017052375152,0.943970767356882,0.9601096224116932,0.9406211936662606,0.9570645554202192,0.09652509652509653
6,35,Bishop,Bishop,Southern Region Office,Inyo,2/4/1983,12/31/2050,True,True,4170,Grass,37.358514,-118.40553,"['93515', '93514', '93513', '93512']",,0.9244823386114496,0.9945188794153472,0.8556638246041413,0.9531059683313032,0.951278928136419,0.944884287454324,0.3552123552123552
7,39,Parlier,Parlier,South Central Region Office,Fresno,5/23/1983,12/31/2050,True,True,337,Grass,36.597444,-119.50404,"['93662', '93657', '93654', '93618', '93161', '93648']",,0.9814250913520096,0.9948233861144944,0.952801461632156,0.9692448233861144,0.9387941534713764,0.9476248477466503,0.11196911196911197
8,41,Calipatria/Mulberry,Calipatria,Southern Region Office,Imperial,7/17/1983,12/31/2050,True,True,-110,Grass,33.042986,-115.41585,"['92281', '92257', '92233']",,0.9579780755176612,0.9820341047503044,0.8788063337393422,0.962545676004872,0.9601096224116932,0.9366626065773448,0.305019305019305
9,43,McArthur,Glenburn,Northern Region Office,Shasta,10/31/1983,12/31/2050,True,True,3310,Grass,41.063767,-121.45602,"['96028', '96056']",,0.9847746650426308,0.991169305724726,0.9278319123020706,0.9661997563946408,0.9543239951278928,0.9479293544457978,0.13513513513513514
10,44,U.C. Riverside,Riverside,Southern Region Office,Riverside,6/2/1985,12/31/2050,True,True,1020,Grass,33.964942,-117.33698,"['92522', '92521', '92519', '92518', '92517', '92516', '92515', '92514', '92513', '92509', '92507', '92506', '92505', '92504', '92503', '92502', '92501']",,0.9622411693057248,0.9899512789281364,0.9260048721071864,0.9750304506699148,0.9418392204628502,0.952801461632156,0.1891891891891892
11,47,Brentwood,Brentwood,North Central Region Office,Contra Costa,11/18/1985,12/31/2050,True,True,45,Grass,37.928258,-121.6599,"['94548', '94514', '94513']",,0.942532365014209,0.9898958004420588,0.9156930849384276,0.9561098831701926,0.9131670350489424,0.9166403536469844,0.1889763779527559
12,52,San Luis Obispo,San Luis Obispo,Southern Region Office,San Luis Obispo,4/2/1986,12/31/2050,True,True,330,Grass,35.305442,-120.66178,"['93410', '93409', '93408', '93407', '93406', '93405', '93403', '93401']",,0.9339220462850184,0.995127892813642,0.9902557856272838,0.932095006090134,0.9579780755176612,0.932095006090134,0.11196911196911197
13,64,Santa Ynez,Santa Ynez,Southern Region Office,Santa Barbara,11/21/1986,12/31/2050,True,True,490,Grass,34.583144,-120.07924,['93460'],,0.9244823386114496,0.9957369062119368,0.9750304506699148,0.9357490864799024,0.9479293544457978,0.9159561510353228,0.11969111969111969
14,68,Seeley,Seeley,Southern Region Office,Imperial,5/29/1987,12/31/2050,True,True,40,Grass,32.759575,-115.73207,['92273'],,0.920219244823386,0.988733252131547,0.8909866017052375,0.9333130328867236,0.9339220462850184,0.907429963459196,0.3474903474903475
15,70,Manteca,Manteca,North Central Region Office,San Joaquin,11/12/1987,12/31/2050,True,True,33,Grass,37.834822,-121.22319,"['95337', '95336', '95365', '95320', '95231']",,0.9869062119366626,0.9917783191230208,0.9741169305724726,0.9652862362971986,0.9454933008526188,0.9491473812423872,0.05791505791505792
16,71,Modesto,Modesto,South Central Region Office,Stanislaus,6/25/1987,12/31/2050,True,True,35,Grass,37.645222,-121.18776,"['95397', '95358', '95357', '95356', '95355', '95354', '95353', '95352', '95351', '95350']",,0.9735079171741778,0.991169305724726,0.978380024360536,0.956760048721072,0.9534104750304506,0.9363580998781972,0.06177606177606178
17,75,Irvine,Irvine,Southern Region Office,Orange,10/7/1987,12/31/2050,True,True,410,Grass,33.68845,-117.72118,"['92710', '92707', '92667', '92650', '92630', '92623', '92620', '92619', '92618', '92616', '92614', '92612', '92606', '92604', '92603', '92602']",,0.9390986601705238,0.9643727161997564,0.9323995127892812,0.924177831912302,0.94884287454324,0.917783191230207,0.20077220077220076
18,77,Oakville,Napa,North Central Region Office,Napa,3/1/1989,12/31/2050,True,True,190,Grass,38.428475,-122.41021,"['94573', '94574', '94562']",,0.952801461632156,0.9595006090133984,0.9308769792935444,0.9521924482338612,0.9451887941534712,0.9387941534713764,0.14285714285714285
19,78,Pomona,Pomona,Southern Region Office,Los Angeles,3/14/1989,12/31/2050,True,True,730,Grass,34.056589,-117.81307,"['91799', '91797', '91769', '91768', '91767', '91766', '91765']",,0.9482338611449452,0.9853836784409256,0.9598051157125456,0.9668087697929354,0.9598051157125456,0.9381851400730816,0.13513513513513514
20,80,Fresno State,Fresno,South Central Region Office,Fresno,10/3/1988,12/31/2050,True,True,339,Grass,36.820833,-119.74231,"['93766', '93762', '93761', '93760', '93759', '93755', '93750', '93747', '93745', '93744', '93741', '93740', '93729', '93728', '93727', '93726', '93725', '93724', '93722', '93721', '93720', '93718', '93717', '93716', '93715', '93714', '93711', '93710', '93709', '93708', '93707', '93706', '93705', '93704', '93703', '93702', '93701', '93650']",,0.978380024360536,0.9939098660170524,0.8517052375152253,0.9701583434835568,0.945797807551766,0.9442752740560292,0.21235521235521235
