StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
1,Fresno/F.S.U. USDA,Fresno,South Central Region Office,Fresno,6/7/1982,9/25/1988,False,True,340,Grass,36.814444,-119.73167,"['93766', '93762', '93761', '93760', '93759', '93755', '93750', '93747', '93745', '93744', '93741', '93740', '93729', '93728', '93727', '93726', '93725', '93724', '93722', '93721', '93720', '93718', '93717', '93716', '93715', '93714', '93711', '93710', '93709', '93708', '93707', '93706', '93705', '93704', '93703', '93702', '93701', '93650', '93234', '93668', '93660', '93656', '93652', '93609', '93608', '93607']",
2,FivePoints,Five Points,South Central Region Office,Fresno,6/7/1982,12/31/2050,True,True,285,Grass,36.336222,-120.11291,['93624'],
3,Beach /Santa Cruz CO,Watsonville,South Central Region Office,Santa Cruz,5/30/1982,8/25/1986,False,True,10,Grass,36.880556,-121.79333,"['95077', '95076', '95075', '95019', '95018']",
4,Webb /Santa Cruz CO,Watsonville,South Central Region Office,Santa Cruz,5/30/1982,4/29/1988,False,True,230,Grass,36.9725,-121.72611,"['95077', '95076', '95075', '95019', '95018']",
5,Shafter,Shafter,South Central Region Office,Kern,6/1/1982,12/31/2050,True,False,360,Grass,35.532556,-119.28179,"['93263', '93280', '93388']",
6,Davis,Davis,North Central Region Office,Yolo,7/17/1982,12/31/2050,True,True,60,Grass,38.535694,-121.77636,"['95618', '95617', '95616']",
7,Firebaugh/Telles,Firebaugh,South Central Region Office,Fresno,9/22/1982,12/31/2050,True,True,185,Grass,36.851222,-120.59092,"['93622', '93665', '93620']",
8,Gerber,Gerber,Northern Region Office,Tehama,9/22/1982,8/14/2014,False,True,250,Grass,40.044053,-122.16551,"['96035', '96092', '96090', '96078', '96055']",
9,Lamont,LaMont,South Central Region Office,Kern,9/29/1982,4/10/1989,False,True,406,Grass,35.238056,-118.89444,"['93621', '93272', '93256', '93216', '93215', '93201', '93219']",
10,Bakersfield/Greenlee,Mettler Station,South Central Region Office,Kern,10/1/1982,4/16/1986,False,True,400,Grass,35.077083,-119.08213,"['93383', '93381', '93313']",
11,Bakersfield/Bonanza,Conner,South Central Region Office,Kern,9/29/1982,4/17/1986,False,True,290,Grass,35.160556,-119.18083,"['93383', '93381', '93313']",
12,Durham,Chico,Northern Region Office,Butte,10/19/1982,12/31/2050,True,True,130,Grass,39.608639,-121.82443,"['95974', '95958', '95938']",
13,Camino,Placerville,North Central Region Office,El Dorado,10/19/1982,12/31/2050,True,True,2780,Grass,38.753136,-120.7336,"['95667', '95709']",
14,Orland,Orland,Northern Region Office,Glenn,10/30/1982,4/21/1987,False,True,235,Grass,39.739444,-122.17139,"['95961', '95943', '95613', '95963']",
15,Stratford,Stratford,South Central Region Office,Kings,10/29/1982,12/31/2050,True,True,193,Grass,36.157972,-119.85143,"['93246', '93245', '93234', '93202', '93266']",
16,San Juan,Watsonville,South Central Region Office,Monterey,10/23/1982,8/24/1995,False,True,44,Grass,36.904722,-121.70306,"['95077', '95076', '95075', '95019', '95018']",
17,El Centro,Meloland,Southern Region Office,Imperial,11/8/1982,5/27/1987,False,True,-86,Grass,32.846389,-115.44833,"['92249', '92232', '92231', '92251', '92250', '92244', '92243']",
18,Westmorland,Westmorland,Southern Region Office,Imperial,11/11/1982,4/9/1986,False,True,-195,Grass,33.0775,-115.61389,"['92233', '92227', '92281']",
19,Castroville,Castroville,South Central Region Office,Monterey,11/18/1982,11/20/2019,False,False,9,Grass,36.768167,-121.77364,"['93907', '93908', '93933', '95012', '95039']",
20,Corcoran,Corcoran,South Central Region Office,Kings,11/22/1982,4/9/1986,False,True,190,Grass,36.040278,-119.57278,"['93212', '93282']",
21,Kettleman,Kettleman City,South Central Region Office,Kings,11/19/1982,9/1/2017,False,True,340,Grass,35.86775,-119.8949,"['93266', '93234', '93249', '93239']",
22,Caruthers,Laton,South Central Region Office,Kings,11/18/1982,6/6/1988,False,True,238,Grass,36.490278,-119.77917,"['93656', '93652', '93609']",
23,King City,King City,South Central Region Office,Monterey,11/19/1982,12/23/1985,False,True,300,Grass,36.174444,-121.11722,['93930'],
24,Thermal,Thermal,Southern Region Office,Riverside,11/22/1982,3/3/1986,False,True,-120,Grass,33.631111,-116.11194,"['92274', '92254', '92236']",
25,Rancho Mirage,Rancho Mirage,Southern Region Office,Riverside,11/22/1982,11/20/1985,False,True,240,Grass,33.764444,-116.42389,['92270'],
26,Lost Hills,Lost Hills,Southern Region Office,Kern,11/29/1982,8/13/1986,False,True,410,Grass,35.505278,-119.68972,['93249'],
27,Zamora,Woodland,North Central Region Office,Yolo,12/5/1982,1/20/2006,False,True,50,Grass,38.808758,-121.90754,['95698'],
28,Soledad,Soledad,South Central Region Office,Monterey,1/4/1983,2/11/1987,False,True,170,Grass,36.4475,-121.36417,['93960'],
29,Cantua Creek,Cantua Creek,South Central Region Office,Fresno,1/2/1983,7/23/1985,False,True,275,Grass,36.516389,-120.31444,['93608'],
30,Nicolaus,Nicolaus,North Central Region Office,Sutter,1/3/1983,12/29/2011,False,True,32,Grass,38.8706,-121.54608,"['95674', '95668', '95659']",
31,McFarland/Kern Farms,McFarland,South Central Region Office,Kern,1/11/1983,3/8/1993,False,True,480,Grass,35.702722,-119.15355,['93250'],
32,Colusa,Colusa,Northern Region Office,Colusa,1/13/1983,8/12/2016,False,True,55,Grass,39.226861,-122.0248,['95932'],
33,Visalia,Visalia,South Central Region Office,Tulare,1/5/1983,3/1/2007,False,True,350,Grass,36.301056,-119.22453,"['93235', '93223', '93221', '93292', '93291', '93279', '93278', '93277']",
34,Rancho California,Rancho California,Southern Region Office,Riverside,1/21/1983,11/25/1986,False,True,1820,Grass,33.488611,-117.19861,"['92592', '92591', '92590', '92589']",
35,Bishop,Bishop,Southern Region Office,Inyo,2/4/1983,12/31/2050,True,True,4170,Grass,37.358514,-118.40553,"['93515', '93514', '93513', '93512']",
36,Blythe,Blythe,Southern Region Office,Riverside,3/13/1983,8/12/1988,False,True,270,Grass,33.654722,-114.55806,"['92228', '92227', '92226', '92225']",
37,USDA Salinas,Salinas,South Central Region Office,Monterey,4/11/1983,7/27/1992,False,True,120,Grass,36.620556,-121.54528,"['93962', '93915', '93912', '93908', '93907', '93906', '93905', '93902', '93901']",
38,Santa Maria,Santa Maria,Southern Region Office,Santa Barbara,5/3/1983,4/27/1999,False,True,270,Grass,34.954444,-120.38417,"['93458', '93457', '93456', '93455', '93454']",
39,Parlier,Parlier,South Central Region Office,Fresno,5/23/1983,12/31/2050,True,True,337,Grass,36.597444,-119.50404,"['93662', '93657', '93654', '93618', '93161', '93648']",
40,Mendota/MuriettaUSDA,Mendota,South Central Region Office,Fresno,6/14/1983,4/15/1992,False,True,187,Grass,36.683333,-120.38722,['93668'],
41,Calipatria/Mulberry,Calipatria,Southern Region Office,Imperial,7/17/1983,12/31/2050,True,True,-110,Grass,33.042986,-115.41585,"['92281', '92257', '92233']",
42,Lodi,Lodi,North Central Region Office,San Joaquin,10/16/1983,1/18/2001,False,True,23,Grass,38.109444,-121.34611,"['95242', '95241', '95240']",
43,McArthur,Glenburn,Northern Region Office,Shasta,10/31/1983,12/31/2050,True,True,3310,Grass,41.063767,-121.45602,"['96028', '96056']",
